id|name|status|category|type|region|department|newstatus
1|Alice|active|Category A|type1|Test Region|ecfe9b14-3817-4444-a438-f8e1cd6d0608|Active
2|Bob|inactive|Category B|type2|Test Region|453b2d26-1085-4a03-9419-d2d683b98c49|Active
3|Charlie|active|Category A|type1|Test Region|c4ab3c6e-4853-444c-a523-22a7bdee9a03|Inactive
4|David|inactive|Category C|type3|Test Region|acbabe82-1680-4f54-8e2a-036f033f1c69|Active
5|Eve|active|Category B|type2|Test Region|c6cdc954-082b-4412-9b36-898e1f3c222d|Inactive
6|Alice|active|Category A|type1|Test Region|348bef5d-dba5-43e8-b05a-d9fdcd610350|Active
7|Bob|inactive|Category B|type2|Test Region|00fff35d-2890-4620-a649-8efa1a317136|Active
8|Charlie|active|Category A|type1|Test Region|1a2990d3-6ebd-4549-8ac8-79139245af96|Inactive
9|David|inactive|Category C|type3|Test Region|99b97d81-25b6-4e69-bead-afe9421b9267|Active
10|Eve|active|Category B|type2|Test Region|063c487c-cbf5-4df9-96f0-1fe4be0c951c|Inactive
11|Alice|active|Category A|type1|Test Region|9e0d655a-0dcb-4132-ab5d-642c244c4eb3|Active
12|Bob|inactive|Category B|type2|Test Region|e4c9859d-874c-4d83-a8bb-8b8b9b580d69|Active
13|Charlie|active|Category A|type1|Test Region|80fb84b3-ca72-4356-aa1f-efcbaf49384d|Inactive
14|David|inactive|Category C|type3|Test Region|abf66ec1-021f-4c85-8e0a-93e6ad507e93|Active
15|Eve|active|Category B|type2|Test Region|f78ce0a1-ed5d-46c0-ba64-e11f50d3c942|Inactive
16|Alice|active|Category A|type1|Test Region|b7631676-8650-49ee-93dd-e4b708e268b9|Active
17|Bob|inactive|Category B|type2|Test Region|218fc417-a0f0-4061-9b06-e77de45af7b0|Active
18|Charlie|active|Category A|type1|Test Region|e09b8713-0fb6-456e-ba7d-24f16fb9d789|Inactive
19|David|inactive|Category C|type3|Test Region|4021b4a9-95f2-4f9b-a56c-d65b822aea0e|Active
20|Eve|active|Category B|type2|Test Region|c25875c7-6b41-4582-9447-532c6c813976|Inactive
21|Alice|active|Category A|type1|Test Region|5d14fca2-c23b-4f78-9da8-89217bf9a031|Active
22|Bob|inactive|Category B|type2|Test Region|7157b3f5-89f9-4ea4-814b-c5f025f9f067|Active
23|Charlie|active|Category A|type1|Test Region|5ff6129f-c4bd-4567-b10c-c4868c23485d|Inactive
24|David|inactive|Category C|type3|Test Region|fc5af611-9192-4e78-abde-2508c2ee8ed4|Active
25|Eve|active|Category B|type2|Test Region|24b0bc04-ca47-4a6e-b4d2-f963d90457bf|Inactive
26|Alice|active|Category A|type1|Test Region|8df8615b-9bc4-42cc-a20e-4f421e64d8d2|Active
27|Bob|inactive|Category B|type2|Test Region|9aaec726-0ab4-4bec-9bbc-a7be63b7cfa2|Active
28|Charlie|active|Category A|type1|Test Region|c36bf1d3-f693-4535-8886-a0f627b38cd4|Inactive
29|David|inactive|Category C|type3|Test Region|42f11a7f-15f6-4508-94b2-c3f6015f88eb|Active
30|Eve|active|Category B|type2|Test Region|4f636e42-9bc7-4040-ae40-d449f623e3c7|Inactive
